time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-02-10T19:11:48.190Z,-10.1831,161.5868,67.33,5,mb,,89,1.776,0.6,us,us20004zcq,2016-02-11T03:14:33.164Z,"47km NW of Kirakira, Solomon Islands",earthquake,9.6,8.4,0.074,58,reviewed,us,us
2016-02-10T19:06:10.280Z,33.0553333,-114.9886667,-0.12,1.39,ml,9,148,0.08336,0.29,ci,ci37522576,2016-02-10T20:28:20.410Z,"46km NE of Holtville, California",quarry blast,0.91,31.61,0.078,3,reviewed,ci,ci
2016-02-10T18:53:41.910Z,40.2888333,-124.491,19.31,2.44,md,18,252,0.1615,0.15,nc,nc72588970,2016-02-10T23:58:03.968Z,"37km SSW of Ferndale, California",earthquake,0.86,0.33,0.092,20,reviewed,nc,nc
2016-02-10T18:46:04.640Z,44.918,-111.4978333,7.92,1.02,ml,9,130,0.1,0.16,mb,mb80124114,2016-02-11T16:04:04.580Z,"42km SSW of Big Sky, Montana",earthquake,1.06,0.63,0.017,2,reviewed,mb,mb
2016-02-10T18:32:08.470Z,-7.6476,128.0738,157.36,4.2,mb,,54,3.212,0.6,us,us20004zcl,2016-02-11T02:34:46.944Z,"293km ENE of Dili, East Timor",earthquake,9,10.8,0.118,20,reviewed,us,us
2016-02-10T18:01:13.900Z,34.345,-116.8903333,-1.74,1.44,ml,43,60,0.05211,0.25,ci,ci37522552,2016-02-10T19:06:39.599Z,"10km NNW of Big Bear City, California",quarry blast,0.33,31.61,0.115,26,reviewed,ci,ci
2016-02-10T17:52:11.000Z,59.683,-153.1579,118,4,Ml,28,97.2,0.33327497,0.48,at,at00o2ceyz,2016-02-10T20:48:11.460Z,"75km W of Anchor Point, Alaska",earthquake,0,0,,9,reviewed,at,at
2016-02-10T17:45:26.320Z,39.8931667,-123.5053333,5.25,1.81,md,19,93,0.07347,0.07,nc,nc72588960,2016-02-10T23:58:05.969Z,"22km N of Laytonville, California",earthquake,0.22,0.38,0.18,20,reviewed,nc,nc
2016-02-10T17:39:55.000Z,59.68,-153.163,114,4,Ml,33,97.2,0.33058002,0.51,at,at00o2ceej,2016-02-10T17:42:26.288Z,"75km W of Anchor Point, Alaska",earthquake,0,0,,8,reviewed,at,at
2016-02-10T17:00:04.910Z,32.4586667,-116.2888333,15.33,1.43,ml,21,180,0.2392,0.23,ci,ci37522544,2016-02-10T18:33:16.123Z,"24km SE of Campo, California",earthquake,0.57,1.52,0.211,18,reviewed,ci,ci
2016-02-10T16:54:42.680Z,-32.0921,179.9244,422.22,5,mb,,90,3.387,0.76,us,us20004zbe,2016-02-11T00:57:09.941Z,"133km WSW of L'Esperance Rock, New Zealand",earthquake,18.3,15.3,0.133,18,reviewed,us,us
2016-02-10T16:39:39.915Z,38.7416,-119.6825,8.6,1.3,ml,17,151.42,0.163,0.1166,nn,nn00530845,2016-02-10T17:12:41.273Z,"17km SSE of Gardnerville Ranchos, Nevada",earthquake,2.03,4.6,0.29,8,reviewed,nn,nn
2016-02-10T16:32:36.450Z,36.093,-120.1933333,9.04,2.81,md,65,145,0.07494,0.09,nc,nc72588945,2016-02-11T00:42:47.272Z,"11km NNW of Avenal, California",earthquake,0.2,0.35,0.17,97,reviewed,nc,nc
2016-02-10T16:27:42.020Z,27.7016,85.6258,22.84,4.1,mb,,97,0.275,0.67,us,us20004zdq,2016-02-10T21:56:52.095Z,"10km E of Nagarkot, Nepal",earthquake,10.5,5.7,0.1,27,reviewed,us,us
2016-02-10T16:03:47.970Z,36.9751667,-121.6358333,5.61,1.13,md,17,123,0.04572,0.06,nc,nc72588930,2016-02-11T05:50:05.387Z,"6km WSW of Gilroy, California",earthquake,0.31,0.55,0.171,16,reviewed,nc,nc
2016-02-10T15:39:05.730Z,34.062,-118.0793333,7.92,1.08,ml,16,71,0.01129,0.15,ci,ci37522504,2016-02-10T17:50:08.871Z,"2km SSW of Rosemead, California",earthquake,0.46,0.75,0.109,8,reviewed,ci,ci
2016-02-10T15:10:33.740Z,-20.2577,-174.5873,35,5.4,mb,,28,4.545,1.67,us,us20004zaz,2016-02-10T23:13:17.428Z,"56km SSW of Pangai, Tonga",earthquake,9.7,1.9,0.03,383,reviewed,us,us
2016-02-10T15:10:12.050Z,47.7781667,-122.5035,27.502,1.92,ml,21,58,0.03507,0.19,uw,uw61108012,2016-02-10T23:12:50.442Z,"2km S of Kingston, Washington",earthquake,0.51,0.71,0.157,39,reviewed,uw,uw
2016-02-10T14:43:53.160Z,36.7198,-116.0328,9,1.3,ml,28,81.13,0.039,0.1108,nn,nn00530836,2016-02-10T15:54:36.249Z,"56km N of Pahrump, Nevada",earthquake,0.67,0.7,0.33,13,reviewed,nn,nn
2016-02-10T14:42:53.040Z,37.5719986,-118.854332,5.21,1.13,md,15,171,0.02693,0.02,nc,nc72588910,2016-02-10T17:07:05.944Z,"13km SE of Mammoth Lakes, California",earthquake,0.4,0.54,0.07,13,automatic,nc,nc
2016-02-10T14:22:31.780Z,38.811,-122.8256667,2.47,1.25,md,41,80,0.003472,0.05,nc,nc72588905,2016-02-11T02:13:03.830Z,"7km WNW of The Geysers, California",earthquake,0.16,0.26,0.188,13,reviewed,nc,nc
2016-02-10T14:11:46.883Z,39.4126,-118.8933,8.8,1,ml,11,151.17,0.483,0.074,nn,nn00530847,2016-02-11T02:37:09.996Z,"12km SW of Fallon, Nevada",earthquake,2.46,6.9,0.36,6,reviewed,nn,nn
2016-02-10T13:49:25.010Z,38.8028333,-122.809,1.11,1.67,md,47,76,0.01187,0.08,nc,nc72588895,2016-02-11T00:51:05.812Z,"5km WNW of The Geysers, California",earthquake,0.15,0.21,0.259,21,reviewed,nc,nc
2016-02-10T13:45:37.220Z,38.8041667,-122.8106667,0.94,1.27,md,45,79,0.01259,0.04,nc,nc72588890,2016-02-11T03:24:05.017Z,"5km WNW of The Geysers, California",earthquake,0.13,0.19,0.157,16,reviewed,nc,nc
2016-02-10T13:04:04.640Z,37.5703333,-118.8556667,5.05,1.17,md,26,102,0.02884,0.05,nc,nc72588870,2016-02-10T20:22:04.399Z,"13km SE of Mammoth Lakes, California",earthquake,0.26,0.37,0.154,22,reviewed,nc,nc
2016-02-10T12:47:50.520Z,19.0353336,-155.4304962,43.18,2.49,md,53,208,0.1231,0.13,hv,hv61174571,2016-02-10T12:51:22.560Z,"19km SSE of Pahala, Hawaii",earthquake,0.63,0.87,0.1,13,automatic,hv,hv
